healthAuthority_ID,partition,c_count,component_size,component_edges,budget,original_objective,num_simplicials,m_status_agg,m_obj_agg,m_MIPGap_agg,m_runtime_agg,m_status_disagg,m_obj_disagg,m_MIPGap_disagg,m_runtime_disagg,density,perc_reduction_obj_agg,perc_reduction_obj_disagg
0,37,0,2558,14763,511,149232.0,90,9,33989.0,40.642560828503335,3600.2199997901917,9,29493.0,30.973451327433622,3600.1849999427795,0.4514122571438443,77.22405382223651,80.23681247989707
0,38,0,2448,5728,489,17009.0,705,2,3497.0,0.0,13.175999879837036,2,3493.0,0.0,12.54699993133545,0.19124391344877414,79.44029631371627,79.46381327532482
0,39,0,2556,11688,511,100303.0,192,9,19707.0,29.93860049728523,3600.165999889374,9,16988.0,18.16576406875441,3600.1480000019073,0.35794676736216385,80.35253182855946,83.06331814601756
0,40,0,2451,8270,490,30580.0,783,2,3404.0,0.0,11.027999877929688,2,3402.0,0.0,39.06700015068054,0.2754394291376281,88.86854153041203,88.8750817527796
0,41,0,2422,6816,484,26641.0,728,2,3648.0,0.0,222.2150001525879,2,3647.0,0.0,316.5260000228882,0.2324827044942222,86.30682031455275,86.31057392740513
0,42,0,2432,19478,486,73984.0,929,2,2558.0,0.0,7.858999967575073,2,2560.0,0.0,474.75400018692017,0.6589095888631493,96.54249567474048,96.53979238754326
0,43,0,2561,12111,512,114425.0,192,9,18712.0,28.84779820436083,3600.2170000076294,9,16240.0,18.626847290640388,3602.2309999465942,0.36945407067551733,83.64693030369237,85.80729735634695
0,44,0,2567,9535,513,66791.0,240,9,10254.0,6.56329237370782,3600.4260001182556,9,10276.0,6.57843518878941,3600.25,0.2895130684711311,84.6476321660104,84.61469359644263
0,45,0,2553,15918,510,114409.0,252,9,20802.0,38.073262186328236,3600.1959998607635,9,18833.0,30.340360006371792,3600.21599984169,0.4886377450095591,81.8178639792324,83.53888243057801
0,46,0,2444,10008,488,54753.0,504,9,6580.0,3.8905775075987803,3600.164999961853,9,6600.0,4.96969696969697,3600.2400000095367,0.3352375235567335,87.98239365879495,87.9458659799463
0,47,0,2562,15570,512,248275.0,227,9,19181.0,28.84104061310672,3600.224999904633,9,85679.0,100.0,3605.0609998703,0.4746023719145131,92.27429261907159,65.49028295237136
0,48,0,2449,5020,489,14988.0,873,2,2752.0,0.0,35.45799994468689,2,2750.0,0.0,45.4689998626709,0.16746864800091807,81.63864424873232,81.65198825727248
0,49,0,2559,12335,511,94460.0,228,9,12792.0,7.61413383364602,3600.225000143051,9,12936.0,8.82034632034632,3600.194000005722,0.3768758625599266,86.45775989836969,86.30531441880161
0,51,0,2554,13003,510,120922.0,134,9,23114.0,27.507138530760578,3600.173000097275,9,21093.0,20.68458730384487,3600.2210001945496,0.3988428863305442,80.88519872314384,82.55652404029044
0,52,0,2446,10812,489,82008.0,208,9,15240.0,25.9514435695538,3600.138000011444,9,13195.0,14.12656309208033,3600.210000038147,0.36157693291664367,81.41644717588528,83.91010633108965
0,53,0,2566,12592,513,93311.0,268,9,12302.0,9.66509510648675,3600.203000068665,9,12419.0,10.218214026894271,3600.2450001239777,0.38263147259332186,86.81613100277566,86.69074385656567
0,54,0,2439,7029,487,33213.0,459,9,6265.0,1.35674381484437,3600.2220001220703,9,6261.0,1.18191982111483,3600.1760001182556,0.23641663816145955,81.13690422424953,81.14894770120134
0,55,0,2567,14194,513,141092.0,179,9,29462.0,46.05933066322721,3600.2119998931885,9,58501.0,100.0,3604.8940000534058,0.43097519600201734,79.11858928925807,58.53698296147195
0,56,0,2422,6351,484,32725.0,630,9,4301.0,1.8367821436875102,3600.2050001621246,9,4309.0,2.01902993734045,3600.228999853134,0.21662230872106886,86.85714285714286,86.83269671504965
0,57,0,2453,11866,490,98142.0,282,9,20380.0,32.546614327772325,3600.1930000782013,9,18817.0,26.01371100600521,3600.1760001182556,0.3945629714655091,79.23417089523343,80.82676122353325
0,58,0,2476,17116,495,320202.0,433,9,7668.0,0.6781429316640499,3600.5460000038147,9,7681.0,0.54680380158833,3601.571000099182,0.5586070723388978,97.60526167856541,97.60120174140074
0,59,0,2567,12730,513,124305.0,199,9,24957.0,37.392314781424055,3600.2060000896454,9,21989.0,29.5420437491473,3600.2699999809265,0.3865234778854221,79.92277060456136,82.31044608020595
0,60,0,2450,6697,490,31697.0,619,9,4462.0,1.32227700582698,3600.176999807358,9,4458.0,1.39075818752803,3600.224999904633,0.22323147307105776,85.92295800864436,85.9355774994479
0,61,0,2412,5521,482,16463.0,671,2,3517.0,0.0,11.449000120162964,2,3515.0,0.0,10.401000022888184,0.18987737931385518,78.63694344894613,78.64909190305534
0,62,0,2452,5832,490,17051.0,700,2,3497.0,0.0,10.167999982833862,2,3504.0,0.0,10.48300004005432,0.19408131847506394,79.49093894786229,79.44988563720602
0,63,0,2459,6142,491,18931.0,672,2,3703.0,0.0,4.928000211715698,2,3703.0,0.0,5.049000024795532,0.20323542053882204,80.43949078231472,80.43949078231472
0,64,0,2459,7147,491,22915.0,606,2,4177.0,0.0,126.79699993133544,2,4178.0,0.0,184.6180000305176,0.2364903208386456,81.77176521928868,81.76740126554658
0,65,0,2447,7190,489,21033.0,626,2,3934.0,0.0,165.2519998550415,2,3934.0,0.0,98.34299993515016,0.24025280342275038,81.29605857462083,81.29605857462083
0,66,0,2420,6922,484,22133.0,689,2,3568.0,0.0,13.422000169754028,2,3572.0,0.0,15.21399998664856,0.23648867949668428,83.87927529029052,83.86120272895675
0,67,0,2454,7061,490,22571.0,641,2,4100.0,0.0,39.746999979019165,2,4100.0,0.0,21.128999948501587,0.23459788938315806,81.83509813477471,81.83509813477471
0,68,0,2445,7598,489,26916.0,676,2,4147.0,0.0,409.1909999847412,2,4146.999998030092,0.0,222.1870000362396,0.2543016744818076,84.592807252192,84.59280725951072
0,69,0,2452,8096,490,36772.0,564,9,4959.0,0.84690220373022,3600.1699998378754,9,4960.0,0.84677419354838,3600.184000015259,0.26942427201202296,86.51419558359622,86.51147612313717
0,70,0,2451,14877,490,214135.0,437,9,6838.0,9.27171687627961,3600.505000114441,9,6812.0,8.64650616559013,3601.2200000286102,0.4954912197437114,96.80668737011698,96.8188292432344
0,71,0,2444,7981,488,31702.0,536,2,4932.0,0.0,1248.8849999904633,2,4935.0,0.0,436.03400015830994,0.267339196193674,84.44262191659833,84.43315879124346
